Column1|CUSEC=poblacion(4)+distrito(2)+mesa(3)|VotosObtenidos|Unnamed: 0|VotosCandidaturas|VotosBlanco|VotosNulos|codigo_prov|codigo_mun|distrito|Comunidad autónoma|Provincia|Código de provincia|Municipio|Código de municipio|Tipo de elemento|Renta media por persona|Renta media por hogar|%FO|VotosObtenidosPSOE|%PSOE|Poblacion_es|%FO_distritos|renta|fecha|elecciones
3903|0801507030|3|3903|1151|13|9|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|13472.0|39212.0|0.26|533|46.31|188291|0.29|uppermid_income|2023-07-23|generales
3904|0801507031|0|3904|652|2|4|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|11167.0|30564.0|0|275|42.18|188291|0.29|mid_income|2023-07-23|generales
3905|0801508001|2|3905|0805|3|4|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|7294.0|21767.0|0.25|394|48.94|188291|0.31|low_income|2023-07-23|generales
3906|0801508002|0|3906|1202|6|7|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|10815.0|28215.0|0|598|49.75|188291|0.31|mid_income|2023-07-23|generales
3907|0801508003|5|3907|910|08|4|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|10051.0|27590.0|0.55|464|50.99|188291|0.31|mid_income|2023-07-23|generales
3908|0801508004|1|3908|374|5|5|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|10982.0|29178.0|0.27|174|46.52|188291|0.31|mid_income|2023-07-23|generales
3909|0801508005|0|3909|382|3|2|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|9630.0|22924.0|0|181|47.38|188291|0.31|low_income|2023-07-23|generales
3910|0801508006|6|3910|0857|13|5|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|11593.0|29862.0|0.7|432|50.41|188291|0.31|mid_income|2023-07-23|generales
3911|0801508007|2|3911|516|3|5|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|9362.0|25554.0|0.39|215|41.67|188291|0.31|mid_income|2023-07-23|generales
3912|0801508008|2|3912|946|3|7|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|10417.0|28347.0|0.21|433|45.77|188291|0.31|mid_income|2023-07-23|generales
3913|0801508009|3|3913|599|2|1|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|11381.0|28653.0|0.5|259|43.24|188291|0.31|mid_income|2023-07-23|generales
3914|0801508011|3|3914|446|3|2|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|11270.0|29593.0|0.67|208|46.64|188291|0.31|mid_income|2023-07-23|generales
